databraryID,sex,age,event1,friend1,nonfriend1,helper1,choose_friend1,choice_action1,story1,specific 1,type_help1,qualStory1,event2,friend2,nonfriend2,helper2,choose_friend2,choice_action2,story2,specific 2,type_help2,qualstory2,event3,friend3,nonfriend3,helper3,choose_friend3,choice_action3,story3,specific 3,type_help3,qualStory3,event4,friend4,nonfriend4,helper4,choose_friend4,choice_action4,story4,specific 4,type_help4,qualStory4,event5,friend5,nonfriend5,helper5,choose_friend5,choice_action5,story5,specific 5,type_help5,qualStory5,event6,friend6,nonfriend6,helper6,choose_friend6,choice_action6,story6,specific 6,type_help6,qualStory6,Notes 
FLIP5_12,m,5,rock,pelican,chicken,pelican,f,move,verbal,not,goal,bandaid,slide,turtle,snail,turtle,f,move,verbal,not,goal,Bandaid and brings the hurt animal to the doctor ,sting,horse,pig,horse,f,move,verbal,not,comfort,Hug and takes the stinger out,tree,walrus,frog,walrus ,f,move,verbal,not,comfort,Uses his teeth and body to make him feel better,sand,cow,lamb,cow,f,move,verbal,not,comfort,Gives the hurt character milk and a headbump,bars,alligator,turtle,alligator,f,act,verbal,not,goal,Biting and scratching then giving him a bandaid ,
FLIP5_13,f,5,sand,horse,pig,horse,f,move,verbal,not,goal,bandaid ,bars,pelican,chicken,chicken,n,move,verbal,not,goal,"""fixing"" the hurt character",sting,lamb,cow,lamb,f,move,verbal,not,goal,bandaid,tree,turtle,snail,snail,n,move,verbal,not,goal,bandaid ,rock,alligator,turtle,turtle,n,move,verbal,not,goal,Putting a cast on the animal's leg,slide,frog,walrus,walrus,n,move,verbal,not,goal,bandaid ,
FLIP5_15,f,5,rock,alligator,turtle,turtle,n,move,verbal,not,goal,bandaid ,sting,cow,lamb,lamb,n,move,verbal,not,comfort,"says ""it'll be okay"" to the hurt animal",slide,frog,walrus,frog,f,move,verbal,specific ,goal,Takes the hurt character home and puts her in her bed,sand,pig,horse,pig,f,move,verbal,not,goal,Sees a splinter and uses tweezers to take it out,tree,turtle,snail,snail,n,move,verbal,specific ,goal,Brings the hurt character home,bars,pelican,chicken,pelican,f,move,verbal,not,goal,Helps the hurt character get back on the monkeybars,
FLIP5_16,m,5,sting,cow,lamb,cow,f,move,verbal,not,goal,Putting milk on the sting to make it feel better,sand,pig,horse,horse,n,move,verbal,not,goal,Bandaid and helping the hurt character up,rock,alligator ,turtle,turtle,n,move,verbal,not,comfort,kisses the hurt character,bars,chicken,pelican,pelican,n,move,verbal,not,comfort,Hugs and kisses the hurt character,slide,walrus,frog,frog,n,move,verbal,specific,goal,The helper carries the hurt animal home and gives him a bandaid,tree,turtle,snail,turtle,f,move,verbal,not,goal,Checking to see if the hurt charcacter is okay,
FLIP5_17,m,5,bars,alligator,turtle,turtle,n,move,verbal,not,goal,Picking the hurt character up,sand,cow,lamb,lamb,n,move,verbal,not,goal,Picking the hurt character up,tree,frog,walrus,frog,f,move,verbal,not,goal,Helping the hurt character up,sting,pig,horse,horse,n,move,verbal,not,goal,Picking the hurt character up,slide,turtle,snail,turtle,n,move,verbal,not,goal,Picks the hurt character up,rock,pelican,chicken,pelican,f,move,verbal,not,goal,Picks up the hurt character ,
FLIP5_18,f,5,sting,pig,horse,horse,n,move,verbal,not,comfort,"asking ""are you okay?""",rock,chicken,pelican,chicken,f,move,verbal,not,comfort,Offers to rub her warm feathers on the hurt character,sand,cow,lamb,lamb,n,move,verbal,not,comfort ,"Asks ""are you okay?""",slide,snail,turtle,turtle,n,move,verbal,not,comfort,"Asks ""are you okay?""",bars,turtle,alligator,alligator,n,move,verbal,not,comfort,"asking ""are you okay?"" ",tree,walrus,frog,walrus,f,move,verbal,not,comfort,"Asks ""are you okay?""",
FLIP6_1,m,6,bars ,alligator,turtle,alligator,f,move,verbal,not,none,"""helping""",sand,cow,lamb,lamb,n,move,verbal,not,share,sharing jacket,tree,frog,walrus,frog,f,move,verbal,not,comfort,jumping to make happy,sting,pig,horse,horse,n,move,verbal,not,comfort,hurt character rides on helper's back,slide,turtle,snail,snail,n ,move,verbal,not,goal,using (snail) smile to make different things ,rock,pelican,chicken,pelican,f,move,verbal,not,comfort,Helper flies around to make hurt character happy,
FLIP6_2,m,6,slide,walrus,frog,frog,n,move,verbal,not ,none ,"""helping him"" ",rock,turtle,alligator,allignator,n,move,verbal,not,none,"""helping""",tree,turtle ,snail,turtle,f,move,verbal,not,none,"""hes helping""",sting,lamb,cow,cow,n,move,verbal,not,none,"""helping feel better""",bars,chicken,pelican ,chicken,f,move,verbal,not,none,"""helping him feel better""",sand,pig,horse,horse,n,move,verbal,not,none,"""helping""",
FLIP6_3,m,6,rock ,chicken,pelican,chicken,f,move,verbal,not,goal,bandaid ,slide,turtle ,snail,turtle,f,move,verbal,not,goal,lifting the hurt character up the slide,sting,horse,pig,horse,f,move,verbal,not,goal,Baking soda and water to clean the sting wound,tree,walrus,frog,walrus,f,move,verbal,not,goal,bandaid ,sand,cow,lamb,cow,f,move,verbal,not,goal,bandaid and gives him milk,bars,alligator,turtle ,alligator ,f,move,verbal,not ,goal,Helping him stand up and bandaid,
FLIP6_4,f,6,tree,frog,walrus,walrus,n,move,verbal,not,none,"""helping""",bars,alligator,turtle,alligator,f,move,verbal,not,none,"""helping""",slide,snail,turtle,snail,f,move,verbal,not,none,"""helping""",sand,cow,lamb,cow,f,move,verbal,not ,none,"""helping""",rock,pelican,chicken,chicken,n ,move,verbal,not,none,"""helping""",sting,horse,pig,horse,f,move,verbal,not,none,"""helping them feel better""",
FLIP6_6,m,6,rock,alligator,turtle,turtle,n,move,verbal,not,goal,bandaid ,sting,cow,lamb,lamb,n,move,verbal,not,none,"""helping""",slide,frog,walrus,walrus,n,move,verbal,not,goal,bringing hurt character home to rest ,sand,pig,horse,pig,f,move,verbal,not,goal,"""taking him home to rest""",tree,turtle,snail,turtle,f,move,verbal,not,comfort ,hug,bars,pelican,chicken,chicken,n,move,verbal,not,goal,"""taking him to the bench to rest""",
FLIP6_7,m,6,bars ,chicken,pelican,chicken,f,move,verbal,not,goal,bandage,tree,snail,turtle,snail,f,move,verbal,not,goal,bandage,sand,pig,horse,pig,f,move,verbal,not,goal,bandage,slide,frog,walrus,frog,f,move,verbal,not,goal,"""bandaging up the wing""",sting,lamb,cow,lamb,f,move,verbal,not,goal,special medicine ,rock,turtle,alligator,turtle,f,move,verbal,not,goal,bandage ,
FLIP6_8,m,6,slide,frog,walrus,frog,f,move,verbal,not,goal,helping hurt character up,rock,alligator ,turtle,alligator,f,move,verbal,not,none,"""helping""",tree,snail,turtle,snail,f,move,verbal,not ,goal,lifting him up to make him feel better,sting,cow,lamb,cow,f,move,verbal,not,none,"""helping him feel better""",bars,pelican ,chicken,chicken,n ,move,verbal,not,goal,helping hurt character up,sand,horse,pig,horse,f,move,verbal,not,goal,helping the hurt character get up,
FLIP6_9,m,6,sand,pig,horse,pig,f,move,verbal,not,comfort,Hug and reading a story to the hurt character ,bars,chicken,pelican,chicken,f,move,verbal,not,comfort,Doing their secret handshake ,sting,cow,lamb,lamb,n,move,verbal,not,goal,Giving the hurt character a ride to the doctor and usign her wool ,tree,snail,turtle,snail,f,act,verbal,not,comfort ,"Do a dance to make the hurt character feel better and use their ""healing slime""",rock,turtle,alligator,turtle,f,act,verbal,not,goal,Putting water on the hurt character and going back to the blacktop to play,slide,walrus,frog,walrus,f,move,verbal,not,comfort,Pouring water on the hurt character and making up a secret handshake,
FLIP6_12,m,6,slide,turtle,snail,snail,n,move,verbal,not,goal,Helping the hurt character up,tree,walrus,frog,frog,n,act,verbal,not,goal,Helping the hurt character climb the tree,rock,pelican,chicken,chicken,n,act,verbal,not,goal,The helper moves the rock so no one trips on it ,bars,turtle,alligator ,turtle,f,act,verbal,not,goal,Helping the hurt character get back on the monkey bars ,sting,pig,horse,pig,f,move,verbal,not,none,"""helping eachother"" ",sand,cow,lamb,cow,f,move,verbal,not,goal,Lifting the hurt character and putting him back in the sandbox,
FLIP6_14,f,6,tree,snail,turtle,turtle,n,move,verbal,not,goal,Helping the hurt character up,slide,frog,walrus,frog,f,move,verbal,not,goal,Helping the hurt get up,bars,chicken,pelican,chicken,n,move,verbal,not,goal,Helping the hurt character get up,rock,alligator,turtle,turtle,n,move,verbal,not,goal,Helping the hurt character get up,sand,horse,pig,horse,f,move,verbal,not,goal,Helping the hurt character get up,sting,lamb,cow,cow,n,move,verbal,not,goal,Taking the hurt character to the nurse ,
FLIP6_15,f,6,slide,turtle,snail,turtle,f,move,verbal,not,goal,Helping the hurt character up,tree,walrus,frog,frog,n,move,verbal,not,goal,Helping the hurt character climb the tree,rock,pelican,chicken,chicken,n,move,verbal,not,goal,Moving the rock so they don't trip again,sand,turtle ,alligator ,turtle,f,move,verbal,not,goal,Helping the hurt character out of the sandbox and cleaning them,sting,pig,horse,pig,f,move,verbal,not,goal,Helping the character clean up,bars,cow,lamb,cow,f,move,verbal,not,comfort,The cow gives the hurt character some milk,
FLIP6_16,m,6,sand ,lamb,cow,lamb,f,move,verbal,not,goal,bandaid ,sting,horse,pig,horse,f,move,verbal,specific,goal,Trotter gets a bandaid and finds the hurt character's mom,bars,turtle ,alligator,turtle,f,move,verbal,not,goal,bandaid ,rock,pelican,chicken,pelican,f,act,verbal,not,goal,bandaid and gets rid of the rock so he doesn't trip again,tree,frog,walrus,frog,f,act,verbal,not,goal,bandaid ,slide,snail,turtle ,turtle,n,act,verbal,not,goal,bandaid ,
FLIP6_17,m,6,slide,snail,turtle,snail,f,move,verbal,not,goal,ice pack,tree,frog,walrus,frog,f,move,verbal,not,none,"""helping""",rock,chicken,pelican,chicken,f,move,verbal,not,goal,bandaid and helps the character up,bars,alligator,turtle,alligator,f,move,verbal,not,goal,Helping the hurt character up,sting,horse,pig,horse,f,move,verbal,not,goal,Helping the hurt character get up,sand,cow,lamb,cow,f,move,verbal,not,goal,helping the hurt character get up,
FLIP6_18,m,6,slide,snail,turtle,snail,f,move,verbal,not,none,"""helping""",tree,frog,walrus,frog,f,move,verbal,not,none ,"""helping""",rock,chicken,pelican,chicken,f,move,verbal,not,none,"""helping""",bars,alligator,turtle,alligator,f,move,verbal,not,none,"""helping him""",sting,horse,pig,horse,f,move,verbal,not,none,"""helping him""",sand,lamb,cow,lamb,f,move,verbal,not,none,"""helping them""",Verbally said the friend character is the right answer 
FLIP6_19,f,6,sting,lamb,cow,lamb,f,move,verbal,not,comfort,The lamb is using his wool to help,sand,horse,pig,horse,f,move,verbal,not,goal,Licking the wound because water helps heal wounds ,rock,turtle ,alligator,turtle,f,move,verbal,specific ,goal,Moves the rock and takes the hurt character home,bars,pelican,chicken,pelican,f,move,verbal,not,goal,Calling for help,slide,frog,walrus,frog,f,move,verbal,not,comfort ,"Say ""its okay"" and they try the slide again",tree,snail,turtle ,snail,f,move,verbal,not,goal,Uses the slime to cover the wound like a bandaid. Also makes sure they don't fall again.,
FLIP6_20,f,6,sting,cow,lamb,lamb,n,move,verbal,not,comfort,"""are you okay?""",sand,pig,horse,pig,f,move,verbal,not,comfort,"""Are you okay?"" and helping the hurt character",rock,alligator,turtle,alligator,f,act,verbal,not,comfort,"Licking the hurt character and asking ""are you okay?""",bars,chicken,pelican ,chicken,f,act,verbal,not,comfort,"Pecking her and saying ""cluck cluck"" to make her feel better",slide,walrus,frog,walrus,f,act,verbal,not,comfort ,"asking ""are you okay?"" ",tree,turtle,snail,snail,n,move,verbal,not,goal,Putting slime on the wound,Says they're choosing the friend character. Makes up 2 scenarios for the 6th trial with a different helper. The first scenario was the one that was coded. 
FLIP-60_01,f,4,tree,frog,walrus,walrus ,n,move,verbal,not,goal,bandaid ,bars,alligator ,turtle,alligator,f,move,verbal,not,goal,bandaid,slide,snail ,turtle,snail,f,move,verbal,not,goal,putting the blood pressure on,sand,cow,lamb,lamb,n,move ,verbal,not,goal,putting the blood pressure on,rock,chicken,pelican,chicken,f,move,verbal,not,goal,bring the blood pressure,sting,horse ,pig,horse,f,move,verbal,not,goal,bandaid ,
FLIP-60_02,f,4,slide,walrus,frog,walrus ,f,move,verbal,not,goal,bandaid ,rock,turtle,alligator,turtle,f,move,verbal,not,goal,bandaid,tree,turtle,snail,turtle,f,move,verbal,not,goal,bandaid,sting,lamb,cow,cow,n,move ,verbal,not,goal,bandaid,bars,chicken,pelican,chicken,f,move,verbal,not,goal,bandaid,sand,pig,horse,pig,f,move,verbal,not,goal,bandaid ,
FLIP-60_03,m,4,sting,horse,pig,horse,f,move,verbal,not,none,"""making him feel better""",rock,pelican,chicken,chicken,f,move,verbal,not,goal,woke up the hurt animal,sand,lamb,cow,cow,n,move,verbal,not,none,"""the cow(helper ) got hurt too""",slide,turtle,snail,snail,n,move ,verbal,not,none,"""made him feel better""",bars,alligator,turtle,alligator,f,move,verbal,not,goal,woke up the hurt animal,tree,frog,walrus,frog,f,move,verbal,not,none,"""hes too heavy for the frog""",
FLIP-60_04,f,4,tree,turtle,snail,turtle,f,move,verbal,not,goal,picking hurt animal up,slide,walrus,frog,frog,n,move,verbal,not,goal,picks up hurt animal,bars,pelican,chicken,chicken,n,move,verbal,not,goal,picks hurt character up,rock,turtle,alligator ,alligator,n,move ,verbal,not,goal,picks hurt animal up,sand,pig,horse,pig,f,move,verbal,not,goal,picks up hurt character,sting,cow,lamb,lamb,n,move,verbal,not,goal,picks hurt character up,
FLIP-60_06,m,4,tree,walrus,frog,frog,n,move,no,not,none,no verbal response(shrugged shoulders),bars,turtle,alligator,alligator,n,move,no,not,none,no verbal response ,slide,turtle,snail,turtle,f,move,no,not,none,no verbal response,sand,cow,lamb,lamb,n,move ,no,not,none,no verbal response ,rock,chicken ,pelican,pelican,n,move,no,not,none,no verbal response ,sting,pig,horse,pig,f,move,no,not,none,no verbal response ,
FLIP-60_07,f,4,slide,snail,turtle,snail,f,move,verbal,not,goal,"""heals his head""",tree,frog,walrus,frog,f,move,verbal,not,comfort,Hug and healing ,rock,chicken,pelican,chicken,f,move,verbal,not,goal,bandaid,bars,alligator,turtle,turtle,n,move ,verbal,not,goal,Bandaid and aquaphor,sting,horse,pig,pig,n,move,verbal,not,goal,helping stand up and bandaid,sand,lamb,cow,lamb,f,move,verbal,not,goal,picks hurt character up and gives her a ride, 
FLIP-60_08,m,4,rock,pelican,chicken,chicken,n,move,no,not,none,no verbal response,snail,turtle,snail,turtle,f,move,no,not,none,no verbal story,sting,horse,pig,pig,n,move,no,not,none,no story told,tree,walrus,frog,frog,n,move,verbal,not,none,no story told,sand,cow,lamb,cow,f,move,no,not,none,no story told,bars,alligator,turtle,turtle,n,move,no,not,none,no story told ,
FLIP-60_09,m,4,sting,cow,lamb,cow,f,move,verbal,not,goal,bandaid ,sand,pig,horse,horse,n,move,verbal,not,goal,bandaid,rock,alligator,turtle,alligator,f,move,verbal,not,goal,bandaid ,bars,chicken,pelican ,chicken,f,act,verbal,not,goal,bandaid,slide,walrus,frog,walrus,f,move,verbal,not,goal,bandaid,tree,turtle ,snail,snail,n,act,verbal,not,goal,bandaid ,
FLIP-60_10,m,4,rock,alligator,turtle,turtle,n,move,no,not,none,no verbal story ,sting,cow,lamb,lamb,n,move,no,not,none,no verbal story ,slide,frog,walrus,frog,f,move,no,not,none,no verbal story,sand,pig,horse,horse,n,move,verbal,not,none,no verbal story,tree,turtle,snail,snail,n,move,verbal,not,none,no story told,bars,pelican,chicken,chicken,n,move,verbal,not,goal,bandaid ,
FLIP-60_12,f,4,sting,lamb,cow,lamb,f,move,verbal,not,goal,bandaid ,sand,horse,pig,horse,f,move,no,not,goal,bandaid ,rock,turtle,alligator,turtle,f,move,no,not,comfort,kiss,bars,pelican,chicken,chicken,n,move,verbal,not,goal,bandaid,slide,frog,walrus,frog,f,move,verbal,not,goal,bandaid ,tree,snail,turtle,turtle,n,move,verbal,not,goal,bandaid,
FLIP-60_13,f,4,sand,cow,lamb,lamb,n,move,verbal,not,comfort,using fluffy wool to make the hurt animal feel better,sting,pig,horse,horse,n,move,verbal,not,goal,gives the hurt animal a ride to the veterinarian,bars,alligator,turtle,turtle,n,move,no,not,none,no verbal story,rock,chicken,pelican ,chicken,f,move,verbal,not,comfort,being nice to make her feel better ,tree,walrus,frog,walrus,f,point,no,not,none,no verbal story,slide,turtle,snail,turtle,f,move,no,not,none,no verbal story,
FLIP-60_14,f,4,rock,turtle,alligator,alligator,n,move,verbal,not,goal,bandaid ,sting,lamb,cow,lamb,f,move,verbal,not,goal,bandaid ,slide,walrus,frog,walrus,f,move,verbal,not,goal,bandaid,sand,horse,pig,pig,n,move,verbal,not,goal,Bandaid ,tree,snail,turtle,turtle,n,move,verbal,not,goal,bandaid ,bars,chicken,pelican,chicken,f,move,verbal,not,goal,helped hurt character stand up,
FLIP-60_15,m,4,bars,chicken,pelican,pelican,n,move,verbal,not,goal,helping the hurt character get back on the monkey bars ,tree,snail,turtle,turtle,n,move,verbal,not,goal,Helping hurt character get back on the tree,sand,pig,horse,pig,f,move,verbal,not,goal,Helping hurt character up,slide,frog,walrus,walrus,n,move,verbal,not,goal,Helping hurt character stand back up,sting,lamb,cow,cow,n,move,verbal,not,goal,Helping the hurt character stand back up,rock,turtle,alligator,turtle,f,move,verbal,not,goal,bandaid ,
FLIP-60_16,m,4,slide,frog,walrus,frog,f,move,verbal,not,goal,"""hes gonna get his(hurt character's) head all ready to go""",rock,alligator ,turtle,alligator,f,move,verbal,not,comfort,Rubbing hurt character's head,tree,snail ,turtle,turtle,n,move,verbal,not,comfort,Rubbing hurt character's head and toes to make him feel better,sting,cow,lamb,lamb,n,move,verbal,not,comfort,kissing hurt character,bars,pelican,chicken,chicken,n,move,verbal,not,goal,Picking hurt character up,sand,horse,pig,horse,f,move,no,not,none,"no verbal story other than ""horses are bigger""",
FLIP-60_17,f,4,rock,chicken,pelican,chicken,f,move,no,not,none,no verbal response ,slide,snail,turtle,snail,f,move,no,not,none,No verbal story,sting,pig,horse,pig,f,move,no,not,none,No verbal story ,tree,frog,walrus,walrus,n,move,no,not,none,no verbal story ,sand,lamb,cow,lamb,f,move,no,not,none,no verbal story,bars,turtle,alligator,turtle,f,move,no,not,none,no verbal story ,
FLIP-60-18,f,4,sand,horse,pig,horse,f,move,verbal,not,none,"""The horse wants to be a doctor when she grows up""",bars,pelican,chicken,pelican,f,act,verbal,not,goal,bandaid,sting,lamb,cow,lamb,f,act,verbal,not,none,"""Shes a veterinarian""",tree,turtle,snail,snail,n,move,verbal,not,goal,Taking out a splinter,rock,alligator,turtle,turtle,n,act,verbal,not,goal,Takes the splinter out,slide,frog,walrus,frog,f,act,verbal,not,goal,Bandaid and cleaning wound,
